Link,Title,Image,Price,Rating,Wish_count
https://rozetka.com.ua/ua/samsung-sm-a356bzkgeuc/p422894847/,Мобільний телефон Samsung Galaxy A35 5G 8/256GB Navy (SM-A356BZKGEUC),https://content.rozetka.com.ua/goods/images/big_tile/417133239.jpg,14499,4.7,2446
https://rozetka.com.ua/ua/apple-mynf3sx-a/p448744739/,Мобільний телефон Apple iPhone 16 Pro 128GB Desert Titanium (MYNF3SX/A),https://content2.rozetka.com.ua/goods/images/big_tile/468886414.jpg,59999,4.8,759
https://rozetka.com.ua/ua/samsung-sm-a256bzkheuc/p416017110/,Мобільний телефон Samsung Galaxy A25 8GB/256GB Black (SM-A256BZKHEUC),https://content.rozetka.com.ua/goods/images/big_tile/405185286.jpg,10799,4.1,1400
https://rozetka.com.ua/ua/xiaomi-1020552/p412862100/,Мобільний телефон Xiaomi Redmi Note 13 6/128GB Midnight Black (1020552),https://content.rozetka.com.ua/goods/images/big_tile/396525030.jpg,6999,4.3,
https://rozetka.com.ua/ua/samsung-sm-s721blggeuc/p450350987/,Мобільний телефон Samsung Galaxy S24 FE 8/256GB Mint (SM-S721BLGGEUC),https://content.rozetka.com.ua/goods/images/big_tile/473819658.jpg,28999,5.0,192
https://rozetka.com.ua/ua/apple-myx33sx-a/p448428638/,Мобільний телефон Apple iPhone 16 Pro Max 512GB Natural Titanium (MYX33SX/A),https://content1.rozetka.com.ua/goods/images/big_tile/468888193.jpg,80999,4.8,333
https://rozetka.com.ua/ua/samsung-sm-a155fzbieuc/p424128357/,Мобільний телефон Samsung Galaxy A15 8/256GB Blue (SM-A155FZBIEUC),https://content1.rozetka.com.ua/goods/images/big_tile/419391277.jpg,8699,4.4,1788
https://rozetka.com.ua/ua/samsung-sm-f956bdbcsek/p438249362/,Мобільний телефон Samsung Galaxy Fold 6 12/512GB Navy (SM-F956BDBCSEK),https://content2.rozetka.com.ua/goods/images/big_tile/449033217.jpg,84999,5.0,112
https://rozetka.com.ua/ua/xiaomi-1020555/p412864716/,Мобільний телефон Xiaomi Redmi Note 13 8/256GB Midnight Black (1020555),https://content2.rozetka.com.ua/goods/images/big_tile/396528095.jpg,7999,4.5,7354
https://rozetka.com.ua/ua/apple-myx53sx-a/p448428644/,Мобільний телефон Apple iPhone 16 Pro Max 1TB White Titanium (MYX53SX/A),https://content.rozetka.com.ua/goods/images/big_tile/468888204.jpg,90999,4.8,154
https://rozetka.com.ua/ua/infinix-hot-50-8-256gb-titanium-grey/p449027663/,Мобільний телефон Infinix HOT 50 8/256GB Titanium Grey,https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,6799,5.0,99
https://rozetka.com.ua/ua/nubia-v60-design-6-256gb-purple/p440057090/,Мобільний телефон Nubia V60 Design 6/256GB Purple,https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,5299,5.0,197
https://rozetka.com.ua/ua/xiaomi-1020564/p412922958/,Мобільний телефон Xiaomi Redmi Note 13 Pro 8/256GB Midnight Black (1020564),https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,9999,4.3,
https://rozetka.com.ua/ua/samsung-sm-s928bzkheuc/p412955592/,Мобільний телефон Samsung Galaxy S24 Ultra 12/512GB Titanium Black (SM-S928BZKHEUC),https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,52999,4.8,1060
https://rozetka.com.ua/ua/samsung-sm-s911bzggsek/p365714604/,Мобільний телефон Samsung Galaxy S23 8/256GB Green (SM-S911BZGGSEK),https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,28999,4.8,1801
https://rozetka.com.ua/ua/nubia-neo-2-5g-8-256gb-silver/p448413623/,Мобільний телефон Nubia Neo 2 5G 8/256GB Silver,https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,7999,4.7,226
https://rozetka.com.ua/ua/poco-1014167/p407165220/,Мобільний телефон Poco C65 8/256GB Blue (1014167),https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,5999,4.6,960
https://rozetka.com.ua/ua/samsung-sm-a556blvceuc/p422889225/,Мобільний телефон Samsung Galaxy A55 5G 8/256GB Lilac (SM-A556BLVCEUC),https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,19899,4.7,2515
https://rozetka.com.ua/ua/apple-myec3sx-a/p448428497/,Мобільний телефон Apple iPhone 16 128GB Ultramarine (MYEC3SX/A),https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg,47499,5.0,178
